time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z8
0:00:21,motala,närkamp,0,z1
0:00:28,sirius,närkamp,0,z1
0:00:54,sirius,passning,straffområde,z2
0:00:57,sirius,40,0,0
0:01:30,motala,närkamp,0,z3
0:02:21,sirius,närkamp,0,z4
0:02:24,sirius,frislag,0,z4
0:02:58,sirius,närkamp,0,z5
0:03:13,sirius,40,0,0
0:03:41,sirius,bolltapp,tappad,z6
0:03:46,sirius,utvisning,10,0
0:04:16,motala,frislag,0,z6
0:05:40,motala,passning,lång,z8
0:05:43,sirius,närkamp,0,z9
0:06:10,motala,brytning,0,z2
0:06:31,sirius,närkamp,0,z4
0:06:36,motala,närkamp,0,z4
0:06:39,sirius,närkamp,0,z4
0:07:00,sirius,hörna,0,z1
0:07:33,sirius,boll,0,0
0:07:45,sirius,40,0,0
0:07:55,sirius,skott,täckt,z2
0:07:59,sirius,skottyp,utifrån,z2
0:08:05,motala,boll,0,z2
0:08:10,motala,passning,lång,z7
0:08:13,sirius,utkast,0,z8
0:08:29,sirius,skott,utanför,z2
0:08:34,sirius,skottyp,utifrån,z2
0:08:35,motala,utkast,0,0
0:08:56,motala,passning,lång,z8
0:08:58,sirius,boll,0,0
0:09:24,sirius,40,0,0
0:10:07,sirius,mål,spelmål,z2
0:10:25,sirius,skottyp,centralt,z2
0:10:27,motala,avslag,0,0
0:11:10,sirius,närkamp,0,z6
0:11:22,motala,utkast,0,z1
0:11:41,sirius,närkamp,0,z5
0:11:49,sirius,passning,lång,z2
0:12:05,motala,utkast,0,z3
0:12:14,sirius,närkamp,0,z7
0:12:33,sirius,skott,utanför,z5
0:12:36,sirius,skottyp,utifrån,z5
0:12:40,motala,utkast,0,z3
0:13:00,sirius,utkast,0,z7
0:13:21,motala,utkast,0,z1
0:13:26,motala,närkamp,0,z1
0:13:52,sirius,närkamp,0,z5
0:14:16,sirius,bolltapp,tappad,z4
0:14:19,sirius,närkamp,0,z4
0:14:31,sirius,skott,utanför,z2
0:14:34,sirius,skottyp,utifrån,z2
0:14:36,motala,utkast,0,0
0:14:55,motala,passning,lång,z8
0:14:59,motala,skott,utanför,z8
0:15:05,motala,skottyp,utifrån,z8
0:15:06,sirius,utkast,0,0
0:15:49,sirius,passning,lång,0
0:15:52,motala,inslag,0,z3
0:16:14,motala,närkamp,0,z9
0:16:23,sirius,brytning,0,z8
0:16:38,sirius,passning,straffområde,z8
0:16:44,sirius,skott,utanför,z2
0:16:50,sirius,skottyp,inlägg,z2
0:17:02,motala,utkast,0,0
0:17:20,sirius,brytning,0,z8
0:17:30,sirius,passning,straffområde,z2
0:17:32,motala,utkast,0,0
0:17:57,motala,närkamp,0,z4
0:17:59,motala,inslag,0,z4
0:18:31,sirius,brytning,0,z8
0:18:36,motala,närkamp,0,z6
0:18:51,motala,frislag,0,z7
0:19:14,motala,passning,straffområde,z8
0:19:16,sirius,rensning,0,0
0:19:30,motala,inslag,0,z4
0:20:04,motala,frislag,0,z6
0:20:25,motala,passning,farlig,z8
0:20:32,motala,mål,spelmål,z8
0:20:52,motala,skottyp,friställande,z8
0:20:58,sirius,avslag,0,z5
0:21:26,sirius,närkamp,0,z1
0:21:28,sirius,frislag,0,z1
0:21:49,sirius,passning,straffområde,z2
0:21:52,sirius,närkamp,0,z2
0:21:55,sirius,skott,utanför,z2
0:21:59,sirius,skottyp,utifrån,z2
0:22:00,motala,utkast,0,0
0:22:20,motala,bolltapp,passförsök,z4
0:22:23,sirius,frislag,0,z4
0:23:24,sirius,40,0,0
0:23:36,motala,brytning,0,z5
0:23:51,motala,passning,lång,z7
0:23:54,sirius,utkast,0,0
0:24:17,sirius,40,0,0
0:24:26,sirius,närkamp,0,z7
0:24:50,sirius,närkamp,0,z7
0:24:53,motala,närkamp,0,z5
0:25:16,motala,passning,straffområde,z8
0:25:21,sirius,rensning,0,0
0:25:33,sirius,brytning,0,z8
0:26:08,motala,passning,straffområde,z8
0:26:12,sirius,brytning,0,z8
0:26:43,motala,brytning,0,z2
0:26:57,sirius,utkast,0,z7
0:27:44,sirius,timeout,0,0
0:29:10,motala,frislag,0,z1
0:29:20,motala,passning,lång,z5
0:29:28,sirius,boll,0,0
0:29:44,sirius,passning,lång,z2
0:29:46,motala,utkast,0,0
0:30:06,motala,passning,lång,z8
0:30:12,sirius,närkamp,0,z8
0:30:18,sirius,40,0,0
0:30:43,sirius,skott,utanför,z3
0:30:46,sirius,skottyp,utifrån,z4
0:30:49,motala,utkast,0,z1
0:31:04,motala,skott,utanför,z8
0:31:08,motala,skottyp,utifrån,z8
0:31:10,sirius,utkast,0,0
0:31:30,sirius,passning,farlig,z2
0:31:33,motala,närkamp,0,z2
0:31:49,motala,närkamp,0,z7
0:31:55,motala,inslag,0,z7
0:32:32,sirius,utkast,0,0
0:32:38,sirius,passning,lång,z2
0:32:45,sirius,frislag,0,z2
0:33:02,sirius,hörna,0,z1
0:33:28,sirius,skott,utanför,z2
0:33:32,sirius,skottyp,fast,z2
0:33:36,motala,utkast,0,0
0:33:54,sirius,brytning,0,z8
0:33:58,motala,brytning,0,z5
0:34:11,motala,inslag,0,z9
0:34:19,motala,frislag,0,z9
0:34:25,motala,hörna,0,z9
0:34:56,motala,skott,täckt,z8
0:34:59,motala,skottyp,fast,z8
0:35:04,sirius,utkast,0,0
0:35:24,motala,närkamp,0,z7
0:36:16,motala,inslag,0,z7
0:36:26,motala,passning,straffområde,z8
0:36:37,motala,skott,utanför,z8
0:36:40,motala,skottyp,inlägg,z8
0:36:45,sirius,utkast,0,0
0:36:52,motala,närkamp,0,z7
0:36:57,motala,skott,utanför,z8
0:37:01,motala,skottyp,centralt,z8
0:37:02,sirius,utkast,0,0
0:37:08,motala,närkamp,0,z3
