time,team,event,subevent,zone
0:00:00,vetlanda,avslag,0,z2
0:00:52,vetlanda,passning,lång,z8
0:00:59,vetlanda,skott,täckt,z8
0:01:06,vetlanda,skottyp,utifrån,z8
0:01:09,vetlanda,hörna,0,z7
0:01:25,vetlanda,skott,täckt,z8
0:01:28,vetlanda,skottyp,fast,z8
0:01:38,sirius,frislag,0,z9
0:02:40,vetlanda,boll,0,0
0:02:47,vetlanda,inslag,0,z3
0:02:59,sirius,närkamp,0,z9
0:03:10,sirius,skott,räddning,z2
0:03:14,sirius,skottyp,utifrån,z2
0:03:16,0,timeout,0,0
0:04:10,vetlanda,utkast,0,0
0:04:21,sirius,utkast,0,0
0:04:50,vetlanda,boll,0,0
0:05:12,vetlanda,skott,räddning,z8
0:05:17,vetlanda,skottyp,dribbling,z8
0:05:21,sirius,utkast,0,0
0:05:36,sirius,40,0,0
0:06:07,vetlanda,närkamp,0,z3
0:06:28,vetlanda,inslag,0,z3
0:06:44,sirius,brytning,0,z5
0:06:49,vetlanda,brytning,0,z5
0:06:56,vetlanda,skott,täckt,z8
0:07:03,vetlanda,skottyp,utifrån,0
0:07:09,vetlanda,inslag,0,z7
0:07:11,sirius,utkast,0,0
0:07:18,vetlanda,närkamp,0,z4
0:07:28,vetlanda,skott,utanför,z8
0:07:32,vetlanda,skottyp,utifrån,z8
0:07:35,sirius,utkast,0,0
0:08:07,sirius,40,0,0
0:08:17,sirius,40,0,0
0:08:36,sirius,mål,spelmål,z2
0:08:45,sirius,skottyp,utifrån,z2
0:08:59,vetlanda,avslag,0,0
0:09:17,vetlanda,frislag,0,z6
0:09:44,vetlanda,skott,räddning,z8
0:09:49,vetlanda,skottyp,utifrån,z8
0:09:53,vetlanda,hörna,0,z7
0:10:14,vetlanda,skott,täckt,z8
0:10:20,vetlanda,skottyp,fast,z8
0:10:25,vetlanda,mål,hörnmål,z8
0:10:30,vetlanda,skottyp,retur,z8
0:10:48,sirius,avslag,0,0
0:11:00,vetlanda,utkast,0,0
0:11:41,vetlanda,skott,räddning,z8
0:11:46,vetlanda,skottyp,centralt,z8
0:11:55,vetlanda,mål,spelmål,z8
0:11:59,vetlanda,skottyp,retur,z8
0:12:20,sirius,timeout,0,0
0:13:18,sirius,avslag,0,0
0:13:39,sirius,passning,straffområde,z2
0:13:44,sirius,inslag,0,z3
0:13:58,sirius,passning,straffområde,z2
0:14:02,sirius,skott,utanför,z2
0:14:07,sirius,skottyp,utifrån,z2
0:14:09,vetlanda,utkast,0,0
0:14:14,sirius,närkamp,0,z8
0:14:30,sirius,inslag,0,z3
0:14:37,vetlanda,närkamp,0,z3
0:15:00,sirius,passning,lång,z2
0:15:04,sirius,offside,0,0
0:15:06,vetlanda,boll,0,0
0:15:13,sirius,utvisning,10,0
0:15:44,vetlanda,frislag,0,z5
0:16:05,sirius,närkamp,0,z6
0:16:11,vetlanda,närkamp,0,z3
0:16:45,sirius,brytning,0,z5
0:16:53,vetlanda,närkamp,0,z2
0:17:05,sirius,brytning,0,z4
0:17:34,sirius,passning,straffområde,z2
0:17:40,vetlanda,utkast,0,z3
0:17:47,sirius,närkamp,0,z8
0:18:02,sirius,offside,0,z2
0:18:18,vetlanda,boll,0,0
0:18:37,sirius,närkamp,0,z8
0:19:08,vetlanda,utvisning,10,0
0:19:24,sirius,frislag,0,z3
0:19:38,sirius,frislag,0,z5
0:20:25,sirius,frislag,0,z5
0:20:51,sirius,skott,täckt,z2
0:20:56,sirius,skottyp,utifrån,z2
0:21:03,sirius,boll,0,0
0:21:06,sirius,40,0,0
0:21:16,sirius,40,0,0
0:21:27,sirius,passning,lång,z2
0:21:37,vetlanda,närkamp,0,z2
0:21:46,sirius,närkamp,0,z9
0:22:07,sirius,skott,räddning,z2
0:22:10,sirius,skottyp,utifrån,z2
0:22:14,vetlanda,utkast,0,z1
0:22:22,sirius,brytning,0,z7
0:22:35,sirius,skott,utanför,z2
0:22:40,sirius,skottyp,utifrån,z2
0:22:45,vetlanda,utkast,0,0
0:22:50,sirius,boll,0,0
0:23:32,sirius,närkamp,0,z3
0:23:46,sirius,frislag,0,z2
0:23:59,vetlanda,utvisning,10,0
0:24:26,sirius,skott,täckt,z2
0:24:29,sirius,skottyp,fast,z2
0:24:30,sirius,boll,0,0
0:24:54,vetlanda,frislag,0,z2
0:25:01,vetlanda,passning,lång,0
