time,team,event,subevent,zone
0:00:00,edsbyn,avslag,0,z5
0:00:14,edsbyn,skott,räddning,z8
0:00:18,edsbyn,skottyp,utifrån,z8
0:00:21,sirius,utkast,0,0
0:00:30,sirius,passning,straffområde,z2
0:00:32,edsbyn,utkast,0,z1
0:00:47,sirius,brytning,0,z8
0:01:00,sirius,närkamp,0,z7
0:01:04,sirius,bolltapp,tappad,z4
0:01:11,sirius,närkamp,0,z6
0:01:18,edsbyn,närkamp,0,z3
0:01:27,edsbyn,passning,lång,z8
0:01:33,sirius,rensning,0,0
0:01:39,edsbyn,skott,täckt,z8
0:01:50,edsbyn,skottyp,utifrån,z8
0:01:52,edsbyn,inslag,0,z9
0:01:59,edsbyn,passning,straffområde,z8
0:02:00,sirius,utkast,0,0
0:02:26,sirius,passning,straffområde,z2
0:02:29,sirius,närkamp,0,z2
0:02:34,sirius,skott,täckt,z2
0:02:37,sirius,skottyp,utifrån,z2
0:02:49,edsbyn,boll,0,z3
0:02:56,edsbyn,inslag,0,z4
0:03:22,sirius,utkast,0,z9
0:03:34,edsbyn,brytning,0,z3
0:03:48,edsbyn,mål,spelmål,z8
0:03:53,edsbyn,skottyp,dribbling,z8
0:04:17,sirius,avslag,0,z5
0:05:00,sirius,närkamp,0,z6
0:05:05,edsbyn,närkamp,0,z6
0:05:17,sirius,närkamp,0,z5
0:05:32,sirius,skott,räddning,z2
0:05:36,sirius,skottyp,utifrån,z2
0:05:41,sirius,skott,räddning,z2
0:05:44,sirius,skottyp,retur,z2
0:05:47,edsbyn,utkast,0,0
0:05:52,sirius,utkast,0,z9
0:06:08,sirius,passning,lång,0
0:06:11,edsbyn,boll,0,0
0:06:30,sirius,brytning,0,z8
0:06:33,edsbyn,närkamp,0,z5
0:06:41,edsbyn,passning,straffområde,z8
0:06:44,sirius,närkamp,0,z8
0:06:48,sirius,rensning,0,0
0:07:00,sirius,utkast,0,z7
0:07:17,sirius,passning,straffområde,z2
0:07:20,edsbyn,utkast,0,0
0:07:33,edsbyn,passning,straffområde,z8
0:07:35,sirius,utkast,0,z7
0:07:48,sirius,hörna,0,z1
0:08:19,sirius,skott,utanför,z2
0:08:25,sirius,skottyp,fast,z2
0:08:27,edsbyn,utkast,0,0
0:08:33,sirius,närkamp,0,z1
0:08:48,edsbyn,inslag,0,z1
0:09:15,edsbyn,utkast,0,z3
0:09:25,edsbyn,närkamp,0,z5
0:10:00,sirius,brytning,0,z4
0:10:13,sirius,bolltapp,passförsök,z2
0:10:15,edsbyn,utkast,0,0
0:10:22,edsbyn,passning,lång,z8
0:10:28,sirius,brytning,0,z8
0:10:44,edsbyn,brytning,0,z6
0:11:02,sirius,utkast,0,z6
0:11:05,edsbyn,närkamp,0,z6
0:11:10,sirius,närkamp,0,z8
0:11:38,sirius,bolltapp,passförsök,z3
0:11:41,edsbyn,boll,0,0
0:11:56,edsbyn,skott,räddning,z8
0:12:00,edsbyn,skottyp,dribbling,z8
