time,team,event,subevent,zone
0:00:00,bollnäs,avslag,0,0
0:00:30,bollnäs,skott,täckt,z8
0:00:34,bollnäs,skottyp,utifrån,z8
0:00:36,0,timeout,0,0
0:01:09,sirius,utkast,0,0
0:01:23,bollnäs,brytning,0,z3
0:01:32,bollnäs,närkamp,0,z7
0:02:08,sirius,närkamp,0,z4
0:02:13,bollnäs,närkamp,0,z7
0:02:21,bollnäs,passning,straffområde,z8
0:02:23,sirius,rensning,0,0
0:02:32,bollnäs,passning,lång,z8
0:02:40,sirius,närkamp,0,z8
0:02:50,sirius,mål,spelmål,z2
0:02:59,sirius,skottyp,centralt,z2
0:03:20,bollnäs,avslag,0,0
0:03:49,sirius,närkamp,0,z9
0:04:06,sirius,frislag,0,z1
0:04:21,sirius,passning,straffområde,z2
0:04:26,sirius,mål,spelmål,0
0:04:33,sirius,skottyp,inlägg,z2
0:04:50,bollnäs,avslag,0,0
0:05:38,sirius,närkamp,0,z9
0:05:43,sirius,rensning,0,0
0:06:31,sirius,närkamp,0,z6
0:06:45,sirius,passning,straffområde,z2
0:06:50,bollnäs,utkast,0,0
0:07:17,bollnäs,passning,lång,0
0:07:19,sirius,rensning,0,0
0:07:41,sirius,närkamp,0,z6
0:08:03,bollnäs,närkamp,0,z5
0:08:14,sirius,närkamp,0,z8
0:08:23,sirius,frislag,0,z7
0:08:50,sirius,passning,straffområde,z2
0:08:52,bollnäs,utkast,0,0
0:09:17,bollnäs,frislag,0,z7
0:09:27,bollnäs,passning,straffområde,z9
0:09:37,bollnäs,skott,utanför,z8
0:09:41,bollnäs,skottyp,utifrån,z8
0:09:43,sirius,utkast,0,z8
0:10:31,sirius,passning,lång,z2
0:10:35,sirius,skott,räddning,z2
0:10:39,sirius,skottyp,friställande,z2
0:10:42,bollnäs,utkast,0,0
0:10:52,bollnäs,hörna,0,z7
0:11:22,bollnäs,skott,utanför,z8
0:11:27,bollnäs,skottyp,fast,z8
0:11:30,sirius,utkast,0,0
0:11:35,sirius,passning,lång,z2
0:11:39,bollnäs,brytning,0,z2
0:11:48,sirius,närkamp,0,z7
0:11:54,sirius,utkast,0,0
0:12:18,sirius,frislag,0,z9
0:12:30,sirius,40,0,0
0:12:46,sirius,inslag,0,z1
0:13:21,sirius,skott,räddning,z2
0:13:24,sirius,skottyp,centralt,z2
0:13:26,bollnäs,boll,0,0
0:13:38,sirius,brytning,0,z8
0:13:45,bollnäs,närkamp,0,z6
0:13:47,bollnäs,inslag,0,z6
0:16:14,sirius,brytning,0,z8
0:16:35,sirius,skott,täckt,z2
0:16:42,sirius,skottyp,utifrån,z2
0:16:43,sirius,hörna,0,z3
0:17:04,sirius,boll,0,0
0:17:12,sirius,passning,straffområde,z2
0:17:19,sirius,skott,räddning,z2
0:17:28,sirius,skottyp,inlägg,z2
0:17:32,bollnäs,utkast,0,0
0:17:44,bollnäs,bolltapp,tappad,z5
0:17:49,bollnäs,närkamp,0,z2
0:17:56,bollnäs,närkamp,0,z4
0:18:06,bollnäs,skott,täckt,z8
0:18:09,bollnäs,skottyp,utifrån,z8
0:18:11,sirius,närkamp,0,z6
0:18:25,sirius,passning,straffområde,z2
0:18:29,sirius,mål,spelmål,z2
0:18:50,sirius,skottyp,inlägg,z2
0:18:54,bollnäs,timeout,0,0
0:20:10,bollnäs,avslag,0,0
0:20:40,bollnäs,närkamp,0,z3
0:21:00,sirius,närkamp,0,z5
0:21:26,sirius,passning,straffområde,z2
0:21:31,sirius,skott,täckt,z2
0:21:35,sirius,skottyp,inlägg,z2
0:21:37,sirius,hörna,0,z3
0:22:03,sirius,mål,hörnmål,z2
0:22:12,sirius,skottyp,fast,z2
0:22:31,bollnäs,avslag,0,0
0:22:57,sirius,brytning,0,z6
0:23:11,sirius,närkamp,0,z3
0:23:14,sirius,frislag,0,z3
0:23:24,sirius,skott,räddning,z2
0:23:28,sirius,skottyp,utifrån,z2
0:23:29,bollnäs,utkast,0,0
0:23:47,bollnäs,passning,straffområde,z8
0:23:49,sirius,rensning,0,0
0:24:11,bollnäs,skott,utanför,z8
0:24:15,bollnäs,skottyp,utifrån,z8
0:24:17,sirius,utkast,0,z8
0:24:40,sirius,närkamp,0,z7
0:24:48,sirius,frislag,0,z6
0:25:12,bollnäs,närkamp,0,z4
0:25:23,sirius,närkamp,0,z4
0:25:29,sirius,frislag,0,z4
0:25:51,bollnäs,brytning,0,z7
0:26:17,bollnäs,frislag,0,z7
0:26:36,bollnäs,offside,0,z8
0:27:01,bollnäs,boll,0,0
0:27:05,bollnäs,skott,täckt,z8
0:27:08,bollnäs,skottyp,utifrån,z8
0:27:14,sirius,närkamp,0,z6
0:27:21,bollnäs,brytning,0,z3
0:27:28,sirius,närkamp,0,z5
0:27:46,bollnäs,utkast,0,z1
0:28:02,bollnäs,hörna,0,z9
0:28:31,bollnäs,skott,räddning,z8
0:28:35,bollnäs,skottyp,fast,z8
0:28:41,sirius,rensning,0,0
0:28:51,bollnäs,passning,straffområde,z8
0:28:56,bollnäs,skott,täckt,z8
0:28:59,bollnäs,skottyp,inlägg,z8
0:29:04,sirius,närkamp,0,z7
0:29:09,bollnäs,närkamp,0,z7
0:29:39,sirius,närkamp,0,z8
0:29:49,bollnäs,boll,0,0
0:29:58,sirius,utkast,0,z7
0:30:20,sirius,skott,utanför,z2
0:30:23,sirius,skottyp,utifrån,z2
0:30:25,sirius,boll,0,0
0:30:45,sirius,passning,straffområde,z2
0:30:52,bollnäs,boll,0,0
0:31:03,sirius,närkamp,0,z4
0:31:08,bollnäs,frislag,0,0
0:31:31,bollnäs,skott,utanför,z8
0:31:36,bollnäs,skottyp,utifrån,z8
0:31:37,sirius,utkast,0,0
0:31:49,bollnäs,närkamp,0,z2
0:32:21,bollnäs,passning,straffområde,z8
0:32:24,sirius,utkast,0,z7
0:32:39,sirius,frislag,0,z2
0:33:03,bollnäs,närkamp,0,z8
0:33:07,bollnäs,skott,utanför,z8
0:33:10,bollnäs,skottyp,utifrån,z8
0:33:17,sirius,utkast,0,0
0:33:24,bollnäs,utkast,0,0
0:33:36,sirius,utvisning,10,0
0:34:05,bollnäs,frislag,0,0
0:34:14,bollnäs,skott,täckt,z8
0:34:18,bollnäs,skottyp,centralt,z8
0:34:19,sirius,utkast,0,0
0:34:36,sirius,40,0,0
0:34:48,sirius,hörna,0,z1
0:35:20,sirius,skott,räddning,z2
0:35:23,sirius,skottyp,fast,z2
0:35:29,sirius,närkamp,0,z6
0:35:42,sirius,skott,utanför,z2
0:35:51,sirius,skottyp,utifrån,z2
0:35:53,bollnäs,utkast,0,0
0:36:09,sirius,närkamp,0,z9
0:36:13,sirius,utkast,0,0
0:36:21,sirius,närkamp,0,z4
0:36:32,bollnäs,närkamp,0,z4
0:36:41,bollnäs,passning,straffområde,z8
0:36:48,sirius,utkast,0,z9
0:36:57,bollnäs,närkamp,0,z5
0:37:16,bollnäs,skott,räddning,z8
0:37:21,bollnäs,skottyp,utifrån,z8
0:37:24,sirius,närkamp,0,z9
0:37:33,bollnäs,närkamp,0,z9
0:37:37,sirius,närkamp,0,z8
0:37:53,sirius,frislag,0,z1
0:38:11,sirius,hörna,0,z1
0:38:41,sirius,skott,räddning,z2
0:38:44,sirius,skottyp,fast,z2
0:38:49,bollnäs,närkamp,0,z3
0:39:08,bollnäs,passning,straffområde,z8
0:39:10,sirius,rensning,0,z8
0:39:19,bollnäs,passning,straffområde,z8
0:39:22,sirius,utkast,0,z2
0:39:29,bollnäs,närkamp,0,z2
0:39:43,bollnäs,skott,täckt,z8
0:39:48,bollnäs,skottyp,utifrån,z8
0:39:51,bollnäs,offside,0,z8
0:39:54,sirius,utkast,0,0
0:40:01,bollnäs,inslag,0,z6
0:40:09,sirius,närkamp,0,z6
0:40:13,bollnäs,boll,0,0
0:40:24,sirius,utvisning,10,0
0:41:08,bollnäs,frislag,0,z5
0:41:38,bollnäs,passning,straffområde,z8
0:41:45,sirius,boll,0,0
0:41:48,bollnäs,närkamp,0,z7
0:41:53,sirius,närkamp,0,z9
0:41:59,bollnäs,inslag,0,z6
0:42:17,bollnäs,skott,utanför,z8
0:42:21,bollnäs,skottyp,utifrån,z8
0:42:24,sirius,utkast,0,0
0:42:34,bollnäs,utkast,0,z1
0:42:50,bollnäs,skott,utanför,z8
0:42:53,bollnäs,skottyp,utifrån,z8
0:43:09,sirius,utkast,0,z5
0:43:13,bollnäs,närkamp,0,z5
0:43:25,bollnäs,passning,straffområde,z8
0:43:38,sirius,utkast,0,z5
0:43:44,bollnäs,boll,0,0
0:44:01,bollnäs,skott,utanför,z8
0:44:04,bollnäs,skottyp,utifrån,z8
0:44:13,sirius,utkast,0,z5
0:44:30,bollnäs,närkamp,0,z3
0:44:39,bollnäs,inslag,0,z6
0:44:55,bollnäs,skott,räddning,z8
0:45:02,bollnäs,skottyp,utifrån,z8
0:45:06,0,timeout,0,0
0:45:33,sirius,utkast,0,z9
0:45:40,sirius,passning,lång,z8
0:45:47,sirius,skott,räddning,z2
0:45:54,sirius,skottyp,friställande,z2
0:45:57,sirius,hörna,0,z3
0:46:12,sirius,skott,utanför,z2
0:46:15,sirius,skottyp,fast,z2
0:46:19,bollnäs,utkast,0,z1
0:46:32,bollnäs,skott,räddning,z8
0:46:36,bollnäs,skottyp,utifrån,z8
0:46:39,sirius,utkast,0,z4
0:46:56,sirius,skott,räddning,z2
0:47:00,sirius,skottyp,centralt,z2
0:47:02,bollnäs,utkast,0,0
0:47:05,0,stop,0,0
