time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z2
0:00:05,sirius,40,0,0
0:00:14,bollnäs,närkamp,0,z5
0:00:20,sirius,närkamp,0,z4
0:00:22,sirius,inslag,0,z4
0:00:34,sirius,passning,farlig,z8
0:00:37,sirius,skott,räddning,z8
0:00:41,sirius,skottyp,centralt,z8
0:00:44,sirius,hörna,0,z7
0:01:05,sirius,mål,hörnmål,z8
0:01:09,sirius,skottyp,fast,z8
0:01:30,bollnäs,avslag,0,0
0:01:45,sirius,brytning,0,z5
0:01:57,sirius,passning,straffområde,z8
0:02:01,sirius,skott,täckt,z8
0:02:11,sirius,skottyp,inlägg,z8
0:02:16,sirius,hörna,0,z9
0:02:26,sirius,skott,täckt,z8
0:02:29,sirius,skottyp,fast,z8
0:02:36,bollnäs,utkast,0,z7
0:03:10,bollnäs,frislag,0,z3
0:03:44,sirius,utkast,0,z3
0:03:55,sirius,bolltapp,tappad,z5
0:03:58,sirius,närkamp,0,z1
0:04:22,sirius,passning,lång,z8
0:04:24,sirius,offside,0,0
0:04:27,bollnäs,boll,0,0
0:04:42,sirius,närkamp,0,z1
0:05:09,sirius,passning,straffområde,z8
0:05:13,sirius,skott,utanför,z8
0:05:20,sirius,skottyp,utifrån,z8
0:05:21,bollnäs,utkast,0,0
0:05:32,sirius,närkamp,0,z1
0:05:38,sirius,utkast,0,z2
0:05:46,bollnäs,brytning,0,z8
0:05:59,bollnäs,inslag,0,z6
0:06:07,bollnäs,passning,straffområde,0
0:06:16,sirius,boll,0,0
0:06:19,bollnäs,närkamp,0,z5
0:06:44,sirius,brytning,0,z3
0:06:54,sirius,passning,farlig,z7
0:07:04,sirius,mål,spelmål,z8
0:07:09,sirius,skottyp,utifrån,z8
0:07:29,bollnäs,avslag,0,0
0:08:26,bollnäs,passning,lång,z2
0:08:27,sirius,utkast,0,z3
0:08:39,sirius,närkamp,0,z7
0:08:47,sirius,hörna,0,z7
