time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z2
0:00:09,sirius,utkast,0,z1
0:00:20,sirius,frislag,0,z2
0:00:32,sirius,passning,lång,z8
0:00:39,vänersborg,utkast,0,0
0:00:54,vänersborg,frislag,0,z4
0:01:10,sirius,brytning,0,z2
0:01:20,sirius,frislag,0,z1
0:01:28,sirius,passning,lång,z5
0:01:36,vänersborg,brytning,0,z5
0:01:57,sirius,utkast,0,0
0:02:07,sirius,passning,lång,z5
0:02:12,vänersborg,boll,0,z8
0:02:25,vänersborg,passning,straffområde,0
0:02:28,sirius,brytning,0,z2
0:02:45,vänersborg,närkamp,0,z8
0:03:00,sirius,närkamp,0,z6
0:03:08,sirius,frislag,0,z6
0:03:15,sirius,passning,farlig,z8
0:03:19,vänersborg,utkast,0,z7
0:03:35,sirius,närkamp,0,z5
0:03:47,vänersborg,närkamp,0,z4
0:03:51,vänersborg,närkamp,0,z4
0:03:55,sirius,brytning,0,z5
0:04:09,sirius,frislag,0,z9
0:04:18,vänersborg,utvisning,5,0
0:04:35,sirius,boll,0,0
0:04:42,sirius,passning,straffområde,z8
0:04:45,sirius,närkamp,0,z8
0:04:49,sirius,40,0,0
0:04:54,sirius,40,0,0
0:05:18,sirius,närkamp,0,z9
0:05:22,sirius,skott,räddning,z9
0:05:26,sirius,skottyp,utifrån,z9
0:05:32,vänersborg,utkast,0,z5
0:05:34,sirius,boll,0,0
0:05:40,sirius,bolltapp,passförsök,z5
0:05:49,vänersborg,skott,räddning,z3
0:05:53,vänersborg,skottyp,utifrån,z3
0:05:55,sirius,utkast,0,0
0:06:02,sirius,passning,lång,z8
0:06:04,sirius,boll,0,0
0:06:08,vänersborg,brytning,0,z8
0:06:13,sirius,närkamp,0,z2
0:06:20,vänersborg,brytning,0,z4
0:06:45,vänersborg,skott,utanför,z3
0:06:55,vänersborg,skottyp,utifrån,z3
0:06:56,sirius,utkast,0,0
0:07:08,vänersborg,närkamp,0,z5
0:07:12,vänersborg,frislag,0,z5
0:07:27,vänersborg,skott,utanför,z2
0:07:30,vänersborg,skottyp,utifrån,z2
0:07:32,sirius,utkast,0,0
0:07:45,sirius,inslag,0,z6
0:07:57,sirius,passning,lång,z8
0:08:04,sirius,närkamp,0,z8
0:08:16,sirius,hörna,0,z9
0:08:38,sirius,skott,täckt,z8
0:08:42,sirius,skottyp,fast,z8
0:08:45,sirius,inslag,0,z7
0:09:11,vänersborg,inslag,0,z9
0:09:18,vänersborg,passning,lång,z5
0:09:27,sirius,utkast,0,z3
0:09:41,sirius,passning,lång,z8
0:09:46,vänersborg,närkamp,0,z8
0:09:55,vänersborg,skott,utanför,z5
0:09:58,vänersborg,skottyp,utifrån,z5
0:10:02,sirius,utkast,0,z6
0:10:13,sirius,passning,lång,z8
0:10:23,vänersborg,bolltapp,tappad,z8
0:10:27,sirius,skott,räddning,z8
0:10:32,sirius,skottyp,centralt,z8
0:10:35,sirius,boll,0,0
0:10:47,sirius,inslag,0,z7
0:11:00,vänersborg,boll,0,0
0:11:09,sirius,närkamp,0,z6
0:11:11,vänersborg,inslag,0,z6
0:11:15,vänersborg,passning,lång,z2
0:11:18,sirius,utkast,0,z1
0:11:25,sirius,passning,lång,z8
0:11:31,sirius,närkamp,0,z8
0:11:35,sirius,hörna,0,z7
0:12:00,sirius,skott,utanför,z8
0:12:02,sirius,skottyp,fast,z8
0:12:07,vänersborg,utkast,0,z7
0:12:26,sirius,närkamp,0,z3
0:12:30,sirius,inslag,0,z3
0:12:44,sirius,passning,lång,z5
0:12:48,sirius,närkamp,0,z5
0:12:55,vänersborg,närkamp,0,z6
0:13:06,vänersborg,frislag,0,z8
0:13:27,sirius,brytning,0,z2
0:13:43,vänersborg,närkamp,0,z9
0:13:49,vänersborg,frislag,0,z9
0:13:59,sirius,brytning,0,z6
0:14:04,vänersborg,närkamp,0,z9
0:14:20,sirius,utkast,0,z3
0:14:34,vänersborg,brytning,0,z6
0:14:42,vänersborg,skott,räddning,z2
0:14:45,vänersborg,skottyp,utifrån,z2
0:14:49,sirius,utkast,0,z8
0:14:54,vänersborg,boll,0,z8
0:15:06,vänersborg,hörna,0,z3
0:15:44,vänersborg,skott,utanför,z2
0:15:47,vänersborg,skottyp,fast,z2
0:16:02,sirius,utkast,0,0
0:16:11,sirius,frislag,0,z8
0:16:28,sirius,skott,täckt,z8
0:16:33,sirius,skottyp,utifrån,z8
0:16:35,vänersborg,rensning,0,0
0:16:45,sirius,utkast,0,z8
0:16:53,sirius,närkamp,0,z5
0:16:57,vänersborg,närkamp,0,z5
0:17:08,vänersborg,passning,straffområde,z2
0:17:14,sirius,utkast,0,z1
0:17:22,vänersborg,brytning,0,z5
0:17:42,vänersborg,närkamp,0,z1
0:17:48,vänersborg,inslag,0,z1
0:17:55,vänersborg,passning,straffområde,z2
0:17:59,vänersborg,boll,0,z6
0:18:05,vänersborg,passning,lång,z2
0:18:18,sirius,utkast,0,z4
0:18:23,sirius,närkamp,0,z4
0:18:29,sirius,närkamp,0,z7
0:18:34,sirius,passning,straffområde,z8
0:18:40,vänersborg,närkamp,0,z8
0:18:42,vänersborg,rensning,0,0
0:18:47,sirius,passning,lång,z8
0:18:53,sirius,offside,0,z8
0:19:01,vänersborg,boll,0,0
0:19:04,sirius,brytning,0,z2
0:19:10,vänersborg,närkamp,0,z6
0:19:18,sirius,närkamp,0,z5
0:19:25,sirius,passning,straffområde,z8
0:19:30,vänersborg,närkamp,0,z8
0:19:47,vänersborg,frislag,0,z3
0:20:07,vänersborg,passning,lång,z2
0:20:13,sirius,utkast,0,z6
0:20:19,sirius,passning,lång,z5
0:20:25,vänersborg,närkamp,0,z5
0:20:39,vänersborg,passning,straffområde,z2
0:20:43,sirius,utkast,0,z6
0:20:50,sirius,passning,lång,z8
0:21:04,vänersborg,rensning,0,z8
0:21:15,vänersborg,närkamp,0,z7
0:21:18,vänersborg,utkast,0,0
0:21:25,vänersborg,frislag,0,z5
0:21:45,vänersborg,passning,straffområde,z2
0:21:47,vänersborg,skott,utanför,z2
0:21:53,vänersborg,skottyp,inlägg,z2
0:21:54,sirius,utkast,0,0
0:22:02,sirius,passning,lång,0
0:22:07,vänersborg,boll,0,0
0:22:20,vänersborg,mål,spelmål,z2
0:22:29,vänersborg,skottyp,centralt,z2
0:22:43,sirius,avslag,0,0
0:22:56,sirius,passning,lång,z8
0:23:07,vänersborg,utkast,0,z9
0:23:15,vänersborg,passning,straffområde,z2
0:23:21,vänersborg,närkamp,0,z2
0:23:24,vänersborg,skott,räddning,z2
0:23:29,vänersborg,skottyp,centralt,z2
0:23:31,vänersborg,hörna,0,z3
0:23:46,vänersborg,skott,täckt,z2
0:23:50,vänersborg,skottyp,fast,z2
0:23:59,sirius,närkamp,0,z6
0:24:01,sirius,rensning,0,0
