time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z8
0:00:32,sirius,40,0,z8
0:00:49,bollnäs,brytning,0,z1
0:00:55,sirius,brytning,0,z4
0:01:17,sirius,närkamp,0,z6
0:01:21,sirius,inslag,0,z6
0:01:36,bollnäs,närkamp,0,z2
0:01:57,bollnäs,skott,räddning,z8
0:02:01,bollnäs,skottyp,utifrån,z8
0:02:03,sirius,utkast,0,0
0:02:12,sirius,hörna,0,z3
0:02:48,sirius,skott,täckt,z2
0:02:52,sirius,skottyp,fast,z2
0:02:54,sirius,skott,täckt,z2
0:02:57,sirius,skottyp,utifrån,z2
0:02:59,sirius,boll,0,0
0:03:05,sirius,närkamp,0,z8
0:03:26,sirius,40,0,z8
0:03:50,bollnäs,utkast,0,z3
0:04:43,sirius,närkamp,0,z8
0:04:56,sirius,frislag,0,z9
0:05:33,sirius,passning,lång,z2
0:05:39,sirius,skott,täckt,z2
0:05:42,sirius,skottyp,utifrån,z2
0:05:45,sirius,hörna,0,z3
0:06:11,sirius,skott,utanför,z2
0:06:13,sirius,skottyp,fast,z2
0:06:17,bollnäs,utkast,0,z1
0:07:00,bollnäs,närkamp,0,z5
0:07:04,bollnäs,frislag,0,z9
0:07:33,bollnäs,närkamp,0,z6
0:08:35,sirius,närkamp,0,z6
0:08:54,bollnäs,närkamp,0,z1
0:09:03,bollnäs,frislag,0,z1
0:09:09,sirius,brytning,0,z5
0:09:14,sirius,40,0,0
0:09:31,sirius,40,0,z8
0:09:53,bollnäs,närkamp,0,z3
0:09:55,bollnäs,inslag,0,z3
0:10:50,bollnäs,frislag,0,z5
0:11:32,bollnäs,skott,räddning,z8
0:11:36,bollnäs,skottyp,centralt,z8
0:11:38,sirius,utkast,0,z7
0:11:48,bollnäs,närkamp,0,z6
0:12:15,sirius,närkamp,0,z8
0:12:29,sirius,skott,räddning,z2
0:12:32,sirius,skottyp,utifrån,z2
0:12:35,sirius,hörna,0,z3
0:13:00,sirius,skott,utanför,z2
0:13:04,sirius,skottyp,fast,z2
0:13:06,bollnäs,utkast,0,0
0:13:18,sirius,utvisning,10,0
0:13:44,bollnäs,frislag,0,z8
0:13:50,sirius,brytning,0,z8
0:14:13,sirius,skott,räddning,z2
0:14:17,sirius,skottyp,centralt,0
0:14:21,bollnäs,rensning,0,0
0:14:35,bollnäs,närkamp,0,z2
0:14:58,bollnäs,mål,spelmål,z8
0:15:02,bollnäs,skottyp,utifrån,z8
0:15:35,sirius,avslag,0,0
0:15:58,sirius,passing,lång,z2
0:16:01,sirius,friläge,0,z2
0:16:08,sirius,skott,räddning,z2
0:16:11,sirius,skottyp,friställande,z2
0:16:20,bollnäs,boll,0,0
0:16:48,bollnäs,passning,lång,z8
0:16:51,sirius,utkast,0,z7
0:17:10,bollnäs,närkamp,0,z6
0:17:24,bollnäs,hörna,0,z9
0:17:51,bollnäs,skott,täckt,z8
0:17:54,bollnäs,skottyp,fast,z8
0:18:00,bollnäs,skott,utanför,z8
0:18:04,bollnäs,skottyp,utifrån,z8
0:18:06,sirius,utkast,0,0
0:18:23,sirius,hörna,0,z1
0:18:56,sirius,skott,räddning,z2
0:18:59,sirius,skottyp,fast,z2
