time,team,event,subevent,zone
0:00:00,sirius,avslag,0,z5
0:00:06,sirius,40,0,z8
0:00:26,sirius,40,0,0
0:00:34,sirius,närkamp,0,z8
0:01:37,sirius,frislag,0,z4
0:02:09,sirius,passning,lång,z2
0:02:11,sirius,offside,0,z2
0:02:19,frillesås,boll,0,0
0:03:02,frillesås,passning,straffområde,z8
0:03:06,sirius,utkast,0,z7
0:03:28,frillesås,brytning,0,z4
0:03:41,frillesås,passning,straffområde,z8
0:03:43,sirius,boll,0,0
0:03:50,sirius,passning,lång,z2
0:03:54,frillesås,brytning,0,z2
0:04:01,frillesås,närkamp,0,z3
0:04:17,frillesås,närkamp,0,z5
0:05:19,frillesås,passning,lång,z8
0:05:22,frillesås,offside,0,z8
0:05:24,sirius,boll,0,0
0:05:33,sirius,skott,räddning,z2
0:05:38,sirius,skottyp,utifrån,z2
0:05:40,frillesås,utkast,0,z1
0:06:11,sirius,närkamp,0,z7
0:06:20,frillesås,närkamp,0,z7
0:07:07,frillesås,frislag,0,z9
0:07:25,sirius,närkamp,0,z7
0:07:33,sirius,närkamp,0,z5
0:07:41,sirius,40,0,0
0:07:53,frillesås,brytning,0,z2
0:08:07,sirius,närkamp,0,z4
0:08:29,sirius,passning,straffområde,z2
0:08:31,sirius,hörna,0,z1
0:09:07,sirius,skott,räddning,z2
0:09:10,sirius,skottyp,fast,z2
0:09:18,frillesås,rensning,0,0
0:09:23,sirius,boll,0,0
0:09:30,frillesås,närkamp,0,z5
0:09:40,frillesås,skott,räddning,z8
0:09:43,frillesås,skottyp,utifrån,z8
0:09:46,sirius,utkast,0,0
0:10:24,sirius,skott,utanför,z2
0:10:33,sirius,skottyp,dribbling,0
0:10:35,frillesås,utkast,0,0
0:10:52,sirius,närkamp,0,z5
0:10:58,frillesås,boll,0,0
0:11:14,sirius,brytning,0,z8
0:12:05,frillesås,brytning,0,z6
0:12:07,frillesås,kontring,0,0
0:12:11,frillesås,bolltapp,tappad,z8
0:12:22,frillesås,närkamp,0,z7
0:13:12,sirius,brytning,0,z8
0:13:55,sirius,passning,straffområde,z2
0:14:02,sirius,frislag,0,z1
0:14:22,frillesås,närkamp,0,z3
0:14:35,sirius,utkast,0,z9
0:14:55,sirius,skott,räddning,z2
0:14:58,sirius,skottyp,centralt,z2
0:15:03,frillesås,närkamp,0,z2
0:15:07,frillesås,frislag,0,z1
0:15:34,sirius,brytning,0,z6
0:15:52,sirius,straff,0,z2
0:16:19,frillesås,utvisning,10,0
0:16:41,sirius,mål,straffmål,z2
0:16:45,sirius,skottyp,fast,z2
0:17:16,frillesås,avslag,0,z2
0:17:54,frillesås,skott,räddning,z8
0:17:58,frillesås,skottyp,dribbling,z8
0:18:04,frillesås,skott,utanför,z8
0:18:11,frillesås,skottyp,utifrån,z8
0:18:13,sirius,utkast,0,0
0:18:37,sirius,40,0,0
0:18:49,sirius,passning,straffområde,z2
0:18:53,sirius,skott,räddning,z2
0:19:00,sirius,skottyp,centralt,z2
0:19:12,sirius,boll,0,0
0:19:37,sirius,frislag,0,z1
0:20:07,sirius,närkamp,0,z9
0:20:22,frillesås,utkast,0,z3
0:20:50,frillesås,skott,räddning,z8
0:20:53,frillesås,skottyp,utifrån,z8
0:20:55,sirius,utkast,0,0
0:21:09,sirius,40,0,0
0:21:52,sirius,inslag,0,z6
0:22:17,sirius,frislag,0,z1
0:22:49,frillesås,närkamp,0,z4
0:22:56,sirius,närkamp,0,z2
0:23:29,frillesås,närkamp,0,z5
0:24:10,frillesås,närkamp,0,z9
0:24:15,frillesås,passning,straffområde,z8
0:24:18,sirius,boll,0,0
0:24:27,sirius,kontring,0,0
0:24:30,sirius,passning,farlig,z2
0:24:34,sirius,hörna,0,z1
0:24:58,sirius,skott,täckt,z2
0:25:01,sirius,skottyp,fast,z2
0:25:04,sirius,skott,täckt,z2
0:25:08,sirius,skottyp,retur,z2
0:25:12,frillesås,utkast,0,z2
0:25:28,frillesås,passning,lång,z8
0:25:30,sirius,boll,0,0
0:25:37,sirius,passning,lång,z2
0:25:40,frillesås,närkamp,0,z2
0:25:52,frillesås,bolltapp,passförsök,z4
0:26:36,sirius,passning,straffområde,z2
0:26:38,frillesås,inslag,0,z1
0:26:58,frillesås,bolltapp,passförsök,z4
0:27:19,sirius,inslag,0,z3
0:27:40,frillesås,närkamp,0,z8
0:27:49,sirius,närkamp,0,z9
0:28:02,sirius,frislag,0,z9
0:28:38,frillesås,närkamp,0,z2
0:28:42,sirius,hörna,0,z1
0:29:06,sirius,skott,utanför,z2
0:29:09,sirius,skottyp,fast,z2
0:29:38,frillesås,närkamp,0,z8
0:29:40,sirius,rensning,0,0
0:29:43,frillesås,inslag,0,z7
0:30:01,frillesås,passning,straffområde,z8
0:30:08,sirius,utkast,0,z7
0:30:34,sirius,passning,lång,z3
0:30:36,frillesås,boll,0,0
0:31:00,frillesås,skott,räddning,z8
0:31:04,frillesås,skottyp,dribbling,z8
0:31:06,frillesås,boll,0,0
0:31:36,frillesås,passning,lång,0
0:31:44,sirius,närkamp,0,z9
0:32:04,sirius,närkamp,0,z2
0:32:06,sirius,40,0,0
0:32:30,sirius,passning,straffområde,z2
0:32:34,sirius,mål,spelmål,z2
0:32:38,sirius,skottyp,inlägg,z2
0:32:53,frillesås,avslag,0,0
0:33:21,frillesås,passning,lång,z2
0:33:22,sirius,boll,0,0
0:33:31,frillesås,närkamp,0,z8
0:33:34,frillesås,frislag,0,z5
0:33:56,sirius,rensning,0,z8
0:34:24,sirius,utkast,0,0
0:34:38,sirius,frislag,0,z6
0:34:57,frillesås,brytning,0,z6
0:35:09,frillesås,inslag,0,z4
0:35:46,sirius,närkamp,0,z9
0:36:07,sirius,utkast,0,0
0:36:27,frillesås,närkamp,0,z3
0:36:30,frillesås,kontring,0,0
0:36:47,frillesås,passning,farlig,z8
0:36:49,sirius,utkast,0,0
0:36:57,frillesås,närkamp,0,z6
0:37:07,frillesås,frislag,0,z7
0:37:33,frillesås,hörna,0,z7
