event,time
avslag sirius z5,0:00:00
närkamp vetlanda z6,0:00:22
skott vetlanda utanför z3,0:00:29
utkast sirius z2,0:00:31
hörna sirius z9 ,0:01:28
skottrddning sirius z2,0:02:04
skott räddning sirius z2,0:02:14
utkast vetlanda z1,0:02:32
närkamp sirius z5,0:02:39
skott sirius räddning z8,0:02:49
utakst vetlanda z8,0:02:58
närkamp sirois z2,0:03:12
passning sirius straffområde,0:03:26
skott räddning sirius z2,0:03:31
mål sirius straffområde z8,0:03:59
avslag vetlanda z5,0:04:08
närkamp sirius z6,0:04:24
motala närkamp z9,0:04:42
tappadboll motala passning z2,0:05:01
sirius frislag z5,0:05:18
passning straffomårde sirius z8,0:05:36
utkast motala z8,0:05:45
utkast sirius z2,0:06:11
utkast vetlanda z9,0:06:21
utkast sirius z6,0:06:53
bolltapp sirius bolltapp z5,0:07:02
passning straffområde vetlanda z3,0:07:18
närkamp sirius z1,0:07:31
offside sirius ,0:07:35
rensning sirius z2,0:07:57
utkast sirius z3,0:08:35
bolltapp sirius passning z7,0:09:20
vetlanda passning straffområde z2,0:09:31
mål vetlanda straffområde z2,0:09:43
avslag sirius z1,0:09:57
timeout sirius ,0:10:45
utkast sirius z3,0:15:27
bolltapp sirius passning z9,0:15:50
utkast vetlanda z9,0:15:57
frislag vetlanda z3,0:16:16
skott block vetlanda z3,0:16:40
sirius närkamp z4,0:16:57
skott räddning sirius z7,0:17:06
frislag sirius z5,0:17:14
frislag sirius z8,0:17:24
skott räddning sirius z8,0:17:32
utkast vetlanda z9,0:17:40
passning straffomåde vetlanda z2,0:18:40
skott utanför vetlanda z2,0:18:44
utkast sirius z2,0:18:49
frislag sirius z7,0:19:00
utvisning vetlanda,0:19:05
hörna sirius z7,0:20:17
skott räddning sirius z2,0:20:50
skott täckt sirius z2,0:20:58
vetlanda närkamp,0:21:25
sirius närkamp z3,0:21:33
sirius friläge,0:21:45
sirius mål z2 straffområde,0:21:54
avslag vetlanda z8,1:07:00
mål vetlanda lång z3,1:07:15
avslag sirius ,1:07:38
offsidew sirius ,1:07:55
skott räddning vetlanda z6,1:08:24
skott räddning vetlanda z1,1:08:32
hörna vetlanda z1,1:08:35
skott räddning vetlanda z2,1:09:02
vetlanda räddning skott z1,1:09:15
skott räddning vetlanda z2,1:09:29
hörna vetlanda,1:09:33
del,1:09:35
hörna vetlanda z3,1:09:37
skott utanför vetlanda z2,1:10:00
utkast z2 sirius ,1:10:07
närkamp vetlanda,1:10:15
närkamp sirius ,1:10:20
skott utanför sirius z8,1:10:26
utkast vetlanda z8,1:10:31
frislag vetlanda z3,1:10:44
utkast sirius z2,1:11:22
närkamp sirius z5,1:11:51
skott räddning sirius z8,1:11:57
frislag sirius z1,1:12:16
utkast vetlanda ,1:12:36
närkamp sirius z5,1:13:52
resning sirius ,1:13:56
närkamp sirius z5,1:14:10
närkamp vetlanda,1:14:34
offside vetlanda,1:14:37
boll sirius ,1:15:01
bolltapp passning sirius,1:15:30
närkamp sirius z1,1:15:41
inkast sirius z2,1:16:37
rensning sirius ,1:17:06
passning straffområde vetlanda ,1:17:22
närkamp z2 vetlanda,1:17:30
närkamp z2 sirius ,1:17:34
frislag sirius z3,1:17:46
frislag vetlanda z1,1:18:21
timeout vetlanda,1:18:23
skott vetlanda z1 utanför ,1:20:14
utkast sirius ,1:20:19
närkamp vetlanda z1,1:20:41
hörna vetlanda z1,1:20:45
skott täckt vetlanda ,1:21:14
inslag vetlanda ,1:21:19
sirius närkamp z2,1:21:29
skott täckt sirius z8,1:21:48
utvisning vetlanda ,1:21:53
frislag sirius z3,1:22:18
vetlanda nörkamp z5,1:22:31
skott vetlanda utanför z3,1:22:47
utkast z5 sirius ,1:23:03
utkast vetlanda z8,1:23:16
passning straffområde vetlanda z1,1:23:43
utkast sirius z5,1:23:50
offside sirius ,1:24:04
vetlanda boll ,1:24:10
frislag vetlanda z9,1:24:28
rensning sirius ,1:24:52
skott räddning vetlanda z3,1:25:09
utkast sirius ,1:25:14
utkast vetlanda z7,1:25:29
boll sirius ,1:26:01
nrkamp vetlanda z5,1:26:05
hörna vetlanda z3,1:26:12
skott vetlanda z2räddning ,1:26:39
boll vetlanda ,1:26:42
skott utanför vetlanda ,1:26:48
utkast sirius z6,1:26:52
skott räddning sirius z8,1:27:02
utkast vetlanda z7,1:27:08
tappadboll vetlandaz2,1:27:22
närkamp vetlanda z4,1:27:31
skott täckt vetlanda z2,1:27:51
nörkamp sirius ,1:27:55
bolltapp passning sirius z8,1:28:07
hörna vetlanda z1,1:28:41
skott vetlanda z2 utanför ,1:29:13
utkast sirius z5,1:29:18
friläge sirius ,1:29:24
skott räddning sirius z8,1:29:30
utkast vetlanda ,1:29:41
passning straffområde vetlanda,1:29:47
boll sirius ,1:29:50
närkamp vetlanda z4,1:29:58
skott utanför vetlanda z8,1:30:05
utkast z3 sirius ,1:30:12
passning straffområde sorois z8,1:30:30
boll vetlanda ,1:30:32
frislag vetlanda z6,1:30:42
frislag vetlanda z4,1:31:01
passning straffområde vetlanda z2,1:31:15
utkast sirius z6,1:31:40
vetlanda boll ,1:31:46
skott räddning vetlanda z1,1:31:55
skott räddning vetlanda ,1:32:00
boll srisius ,1:32:05
mål sirius straffområde z8,1:32:15
avslag vetlanda ,1:32:39
passning straffområde vetlanda z1,1:32:49
utasst sirius z5,1:33:04
närkamp etlanda z5,1:33:23
närkamp sirius z4,1:33:32
närkamp vetlanda ,1:33:51
skott utanflr vetlanda z2,1:33:58
utkast sirius z2,1:34:10
mål sirius z8 straffområde ,1:34:23
avslag vetlanda z5,1:34:54
utkast sirius z1,1:35:09
skott täckt sirius z8,1:35:34
boll vetlanda ,1:35:40
hörna vetlanda z1,1:36:05
skott räddning vetlanda z2,1:36:39
resning sirius z2,1:36:47
närkamp vetlanda z4,1:36:57
närkamp sirius z4,1:37:04
stop,1:37:06
