event,time
avslag sirius z5,0:00:00
inkast motala z2,0:00:42
skott utanför motala z8,0:01:18
utkast sirius z8,0:01:27
bolltapp sirius z2 passning,0:02:33
inslag sirius z4,0:03:11
bolltapp sirius z6 duell ,0:03:50
bolltapp motala duell z4,0:04:23
skott sirius räddning z2,0:04:28
hörna sirius z3,0:04:40
inkast motala z2 ,0:05:01
skott motala räddning z8 ,0:05:45
utkast sisis z 8,0:05:53
tappadboll sirius duell z1,0:06:24
skott utanför motala z9,0:06:34
utkast sirius z8,0:06:39
bolltapp sirius duell z8,0:06:58
skott motala utanför z8,0:07:03
farligtläge motala,0:07:07
utkast sisirus z8 ,0:07:15
skott räddining sirius z1,0:07:33
hörna sirius z1,0:07:37
tappadboll sirius z2,0:08:03
skott block motala z8,0:08:17
tappadboll duell motala z8,0:08:45
hörna sirius z1,0:09:40
skott block sirius z2,0:10:12
skott block sirius z2,0:10:21
utkast motala z2,0:10:29
friläge motala ,0:10:40
mål motala z8,0:10:47
frislag sirius z6,0:11:23
tappadboll passning sirius z5,0:12:04
skott utanför motala z4,0:12:37
utkast sirius z8 ,0:12:42
tapadboll duell sirius z4,0:12:51
skott utanför motala z8,0:13:06
utkast sirius z8,0:13:14
tapadboll duell sirius z4,0:13:25
utkast motala z2,0:14:03
utkast sisirus z8 ,0:14:46
tappadboll sirius duell z4,0:15:12
skott räddning motala z8 ,0:15:21
hörna z9 motala ,0:15:28
skott block motala z8,0:15:57
utkast sirius z8 ,0:16:01
öpnandeassning sirius ,0:16:36
skott utanför sirius z,0:16:41
del,0:16:44
skott utanför sirius z2,0:16:46
utkast motala z2,0:16:49
öppnandepassning motala,0:17:13
skott utanför motala z7,0:17:20
utkast sirius ,0:17:25
tappadboll sirius passning z2,0:17:49
tappadboll motala z5,0:18:03
tappadboll sirius duell z1,0:18:11
tappadboll passning motala z8,0:19:22
tappadboll duell sirius z5,0:19:46
tappadboll passning motala z8,0:19:55
tappadboll duell sirius z9,0:20:06
skott räddning motala z7,0:20:38
utkast sirius ,0:20:41
hörna sirius z1,0:21:04
skott utanför sirius z2,0:21:37
utkast motala,0:21:39
utkast sirius ,0:21:49
tappadboll duell sirius z2,0:22:03
utkast sirius z8,0:22:33
friläge sirius ,0:22:48
mål sirius z2,0:22:55
avslag motala z5,0:23:33
tappadboll passning motala z8,0:23:47
utkast sirius ,0:23:52
tappadboll passnig sirius z2,0:24:35
tappadboll duell motala z9,0:24:44
tappadboll passning sirius z4,0:25:10
tappadboll duell motala z5,0:25:21
hörna sirius z1,0:25:29
skott utanför sirius z3,0:26:02
utkast motala ,0:26:04
friläge motala z8,0:26:31
utkast sirius z8,0:26:38
tappadboll duell sirius z4,0:27:55
tappadboll motala passning z8,0:28:46
inslag sirius z1,0:30:00
tappadboll sirius duell z3,0:30:06
frislag motala z5,0:30:28
skott räddning motala z8,0:31:17
utkast sirius z8,0:31:21
tappadboll sirius z2,0:31:59
skott räddning motala z7,0:32:11
skott block motala z8,0:32:15
tappadboll passning motala z5,0:32:54
tappadboll sirius passning z2,0:33:42
inslag motala z3,0:33:55
skott utanför motala z8 ,0:34:50
utkast sirius z8 ,0:35:07
inslag sirius z3,0:35:38
skott räddning sirius z3,0:36:17
utkast motala z2,0:36:24
bolltapp motala z8 passning ,0:36:35
frislag sirius z2,0:37:21
skott utanför sirius z1,0:37:34
bolltapp sirius z8,0:37:53
hörna motala z9,0:38:02
skott räddning motala z8,0:38:25
bolltapp motala duell z8,0:38:45
frislag sirius z5,0:38:57
bolltapp sirius z5,0:39:14
skott utanför motala z8,0:39:19
utkast sirius z8,0:39:24
utkast motala z2,0:39:55
bolltapp motala z9,0:40:06
utkast motala z2,0:40:45
utkast motala z2,0:41:13
straff motala z8,0:41:41
del,0:41:54
frislag motala z8,0:42:00
skott räddning motala z8,0:42:18
frislag motala z9,0:42:30
utkast sirius z8,0:43:05
utkast motala z2,0:43:24
bolltapp motala duell z5,0:43:41
hörna motala z9,0:44:10
skott utanför motala z8,0:44:45
slut,0:45:05
stop,0:45:07
