event,time
edsbyn avslag,0:00:00
frislag edbyn,0:00:19
vunnen boll sirius,0:01:03
skott på sirius,0:01:21
del,0:01:34
skott block sirius,0:01:37
hörna sirius,0:01:40
skott block sirius,0:01:53
vunnen boll edsbun,0:01:58
vunnen boll sirius,0:02:43
skott på sirius,0:02:50
vunnen boll edsbyn,0:02:56
vunnen boll sirius,0:03:03
frislag sirius ,0:03:12
inslag sirius ,0:03:38
vunnen boll edsbyn,0:04:26
inslag sirius ,0:04:38
vunnen boll edsbyn,0:04:59
skott på edsbyn,0:05:04
vunnen boll edsbyn,0:05:22
inslag edsbyn ,0:05:44
vunnen boll sirius ,0:06:05
inslag edsbyn,0:07:07
vunnen boll sirius ,0:07:22
mål sirius,0:07:45
edsbyn avslag,0:08:20
vunnen boll sirius ,0:09:17
inslag sirius ,0:09:24
vunnen boll edsbyn,0:09:43
vunnen boll sirius,0:09:48
skott utanför sirius ,0:09:52
inkast edsbyn ,0:10:03
vunnen boll sirius ,0:10:11
vunnen boll edsbyn,0:10:30
frislag sirius ,0:10:43
hörna sirius ,0:11:42
skott block sirius ,0:13:00
inkast edsbyn,0:13:04
vunnen boll sirius ,0:13:10
inslag sirius ,0:13:25
vunnen boll edsbyn,0:14:03
vunnen boll sirius ,0:14:10
mål sirius ,0:14:13
avslag edsbyn,0:14:45
skott block edsbyn,0:16:13
skott block edsbyn,0:16:20
skott block edsbyn,0:16:23
inkast edsbyn,0:16:38
del,0:16:51
inkast sirius,0:16:53
inkast edsbyn,0:16:56
skott på edsbyn,0:17:23
skott block edsbyn,0:17:33
hörna edsbyn,0:17:36
lagvarning sirius ,0:17:54
skott block edsbyn,0:18:12
vunnen boll sirius ,0:18:16
skott block sirius ,0:18:26
hörna sirius ,0:18:28
skott utanför sirius ,0:18:59
inkast edsbyn ,0:19:07
vunnen boll sirius ,0:19:26
vunnen boll edsbyn,0:19:40
vunnen boll sirius ,0:19:52
vunnen boll edsbyn ,0:20:02
vunnen boll sirius ,0:23:51
vunnen boll edsbyn,0:24:35
inkast edsbyn ,0:24:37
vunnen boll sirius ,0:25:07
hörna sirius ,0:25:30
skott block sirius ,0:25:57
vunnen boll edsbyn,0:26:04
skott räddning sirius ,0:26:10
del ,0:26:12
skott räddning edsbyn,0:26:16
hörna edsbyn,0:26:19
skott block edsbyn,0:26:43
inkast sirius ,0:26:45
vunnen boll edsbyn,0:28:24
vunnen boll sirius ,0:28:39
vunnen boll edsbyn,0:29:36
frislag edsbyn,0:29:57
skott räddning edsbyn,0:30:22
,0:30:22
skott block edsbyn,0:30:28
vunnen boll sirius ,0:30:31
skott block edsbyn,0:30:55
inkast edsbyn,0:31:00
skott räddning edsbyn,0:31:27
inkast sirius ,0:31:30
skott räddning sirius ,0:32:49
vunnen boll edsbyn,0:32:54
vunnen boll sirius ,0:33:05
skott block sirius ,0:33:22
hörna sirius ,0:33:24
skott block sirius ,0:33:53
vunnen boll edsbyn,0:33:59
,0:33:59
frislag edsbyn,0:34:03
hörna edsbyn,0:34:20
skott block edsbyn,0:34:46
inkast sirius ,0:34:48
inkast edsbyn,0:35:05
vunnen boll sirius ,0:35:26
skott utanför sirius ,0:35:52
inkast edsbyn,0:35:56
vunnen boll sirius ,0:36:38
inkast edsbyn,0:36:49
inkast sirius ,0:37:37
vuunnen boll edsbyn,0:37:46
vunnen boll sirius ,0:38:54
vunnen boll edsbyn,0:39:02
hörna edsbyn,0:39:31
mål edsbyn,0:40:01
avslag sirius,0:40:28
frislag sirius ,0:41:16
vunnen boll edsbyn,0:41:44
frislag edsbyn,0:41:49
vunnen boll sirius ,0:42:27
frislag sirius ,0:42:31
vunnen boll edsbyn,0:42:45
vunnen boll sirius ,0:42:49
vunnen boll sirius ,0:42:58
del ,0:43:03
vunnen boll edsbyn,0:43:06
utkast sirius ,0:43:23
vunnen boll edsbyn,0:43:34
skott utanför edsbyn,0:43:45
inkast sirius ,0:43:59
frislag sirius ,0:44:12
skott utanför sirius ,0:44:36
inkast edsbyn,0:44:40
vunnen boll sirius ,0:44:59
vunnen boll edsbyn,0:45:07
vunnen boll sirius ,0:45:20
vunnen boll edsbyn,0:45:27
hörna edsbyn,0:45:39
skott block sirius ,0:46:25
stop,0:46:27
