time,team,event,subevent,zone,player
0:00:00,iks,avslag,0,z5,0
0:00:13,bol,närkamp,0,z8,0
0:00:29,bol,passning,lång,z7,0
0:00:35,iks,brytning,0,z2,0
0:01:00,bol,närkamp,0,z4,0
0:01:10,bol,skott,täckt,z1,0
0:01:40,iks,rensning,0,z2,0
0:02:20,bol,frislag,0,z6,0
0:01:00,iks,närkamp,0,z1,0
0:02:33,iks,passning,lång,z1,0
0:03:34,bol,utvisning,10,z6,10
0:04:27,iks,frislag,0,z5,0
0:04:50,bol,skott,täckt,z8,0
0:04:50,iks,skottyp,inlägg,z9,0
0:04:59,bol,inslag,0,z6,0
0:05:40,bol,närkamp,0,z1,0
0:05:45,bol,hörna,0,z1,0
0:06:10 ,bol,mål,hörnmål,z2,0
0:06:10 ,bol,skottyp,fast,z2,0
0:06:30,iks,avslag,0,z5,0
0:07:08,iks,skott,täckt,z9,0
0:07:09,iks,skottyp,utifrån,z9,0
0:07:20,iks,hörna,0,z9,0
0:07:40,iks,skott,räddning,z8,0
0:07:40,iks,skottyp,fast,z8,0
0:07:40,iks,skott,täckt,z8,0
0:07:40,iks,skottyp,retur,z8,0
0:08:03,iks,hörna,0,z9,0
0:08:20,iks,mål,hörnmål,z8,0
0:08:20,iks,skottyp,fast,z8,0
0:08:40,bol,avslag,0,z5,0
0:09:05,bol,passning,straffområde,z2,0
0:09:05,iks,frislag,0,z2,0
0:09:52,iks,passning,lång,z5,0
0:09:57,bol,frislag,0,z8,0
0:10:40,bol,närkamp,0,z1,0
0:10:57,bol,frislag,0,z1,0
0:11:26,iks,närkamp,0,z3,0
0:11:32,iks,inslag,0,z3,0
0:11:42,iks,bolltapp,passförsök,z4,0
0:11:50,iks,närkamp,0,z1,0
0:12:03,bol,närkamp,0,z8,0
0:12:21,iks,närkamp,0,z3,0
0:12:22,iks,rensning,0,z3,0
0:12:34,bol,passning,lång,z5,0
0:12:43,iks,utkast,0,z2,0
0:13:09,iks,passning,lång,z1,0
0:13:16,bol,utkast,0,z8,0
0:13:30,bol,inslag,0,z7,0
0:14:16,bol,skott,täckt,z1,0
0:14:16,bol,skottyp,utifrån,z1,0
0:14:17,bol,hörna,0,z1,0
0:14:43,bol,skott,utanför,z2,0
0:14:43,bol,skottyp,fast,z2,0
0:14:48,iks,utkast,0,z2,0
0:15:16,iks,frislag,0,z6,0
0:15:54,bol,hörna,0,z1,0
0:16:25,bol,bolltapp,passförsök,z3,0
0:16:42,iks,bolltapp,passförsök,z5,0
0:16:54,bol,hörna,0,z1,0
0:17:20,iks,skott,räddning,z2,0
0:17:20,iks,skottyp,fast,z2,0
0:18:03,bol,närkamp,0,z3,0
0:18:06,bol,frislag,0,z6,0
0:18:36,iks,närkamp,0,z2,0
0:18:52,iks,passning,lång,z6,0
0:18:58,bol,brytning,0,z7,0
0:19:10,bol,bolltapp,tappad,z5,0
0:19:28,iks,bolltapp,passförsök,z5,0
0:19:37,iks,närkamp,0,z4,0
0:19:41,bol,passning,farlig,z2,0
0:19:42,bol,friläge,0,z2,0
0:19:43,iks,skott,räddning,z2,0
0:19:55,iks,utkast,0,z2,0
0:20:07,iks,passning,farlig,z8,0
0:20:08,iks,friläge,0,z8,0
0:20:09,iks,mål,spelmål,z8,0
0:20:09,iks,skottyp,friställande,z8,0
0:20:45,bol,avslag,0,z5,0
0:21:27,bol,skott,räddning,z2,0
0:21:27,bol,skottyp,utifrån,z2,0
0:21:32,iks,närkamp,0,z2,0
0:22:13 ,iks,bolltapp,passförsök,z1,0
0:22:46 ,bol,bolltapp,tappad,z4,0
0:22:51,iks,skott,täckt,z7,0
0:22:51,iks,skottyp,utifrån,z7,0
0:22:51,iks,hörna,0,z7,0
0:23:31 ,iks,mål,hörnmål,z8,0
0:23:31,iks,skottyp,fast,z8,0
0:23:50,bol,timeout,0,0,0
0:25:40,bol,avslag,0,z5,0
0:26:07 ,bol,bolltapp,passförsök,z5,0
0:26:09,iks,utkast,0,z2,0
0:26:20,bol,närkamp,0,z3,0
0:26:38,iks,närkamp,0,z3,0
0:26:54,iks,skott,utanför,z8,0
0:26:54,iks,skottyp,utifrån,z8,0
