time,team,event,subevent,zone,player
0:00:00,eds,avslag,0,0,0
0:01:16,eds,passning,lång,z6,0
0:01:21,iks,brytning,0,z2,0
0:01:35,iks,straff,0,z8,0
0:02:36,iks,mål,straffmål,z8,0
0:02:47,eds,avslag,0,0,0
0:03:17,eds,bolltapp,passförsök,z6,0
0:03:28,iks,hörna,0,z9,0
0:03:58,iks,skott,täckt,z8,0
0:04:03,eds,kontring,0,z8,0
0:04:11,iks,brytning,0,z2,0
0:04:15,iks,bolltapp,passförsök,z2,0
0:04:19,eds,frislag,0,z9,0
0:04:44,iks,frislag,0,z1,0
0:04:56,eds,frislag,0,z5,0
0:05:13,eds,skott,utanför,z1,0
0:05:24,iks,utkast,0,z2,0
0:05:37,iks,bolltapp,passförsök,z6,0
0:05:41,iks,brytning,0,z2,0
0:05:53,eds,brytning,0,z8,0
0:05:56,iks,närkamp,0,z4,0
0:06:16,iks,närkamp,0,z9,0
0:06:22,iks,frislag,0,z9,0
0:06:31,iks,bolltapp,passförsök,z7,0
0:06:41,eds,bolltapp,passförsök,z8,0
0:07:01,iks,bolltapp,passförsök,z7,0
0:07:35,eds,skott,räddning,z1,0
0:07:38,iks,frislag,0,z2,0
0:08:06,iks,utkast,0,z2,0
0:08:47,iks,mål,spelmål,z8,0
0:08:53,eds,avslag,0,0,0
0:09:16,eds,bolltapp,passförsök,z5,0
0:09:20,iks,närkamp,0,z1,0
0:09:28,iks,närkamp,0,z1,0
0:09:51,iks,mål,spelmål,z8,0
0:10:15,eds,timeout,0,0,0
0:11:47,eds,avslag,0,0,0
0:12:26,eds,närkamp,0,z3,0
0:12:31,eds,frislag,0,z3,0
0:13:14,eds,skott,räddning,z2,0
0:13:17,iks,rensning,0,z2,0
0:13:23,eds,skott,räddning,z2,0
0:13:39,eds,mål,spelmål,z2,0
0:13:42,iks,avslag,0,0,0
0:14:01,iks,passning,straffområde,z9,0
0:14:03,eds,frislag,0,z8,0
0:14:10,eds,passning,lång,z5,0
0:14:17,iks,utkast,0,z2,0
0:14:30,iks,bolltapp,passförsök,z2,0
0:14:34,eds,frislag,0,z5,0
0:14:52,eds,bolltapp,passförsök,z5,0
0:14:57,iks,utkast,0,z2,0
0:15:17,iks,närkamp,0,z5,0
0:15:25,eds,brytning,0,z8,0
0:15:38,eds,frislag,0,z1,0
0:16:14,eds,bolltapp,passförsök,z8,0
0:16:18,iks,inslag,0,z1,0
0:16:27,iks,hörna,0,z9,0
0:17:05,iks,skott,täckt,z8,0
0:17:11,eds,inslag,0,z9,0
0:17:20,eds,frislag,0,z6,0
0:17:43,iks,frislag,0,z9,0
0:17:54,iks,passning,straffområde,z9,0
0:17:59,eds,brytning,0,z8,0
0:18:05,iks,närkamp,0,z2,0
0:18:21,iks,bolltapp,passförsök,z8,0
0:18:26,eds,närkamp,0,z1,0
0:18:55,eds,skott,räddning,z8,0
0:18:57,iks,utkast,0,z2,0
0:19:02,iks,frislag,0,z9,0
0:19:11,eds,frislag,0,z8,0
0:19:35,eds,bolltapp,passförsök,z5,0
0:20:08,iks,passning,straffområde,z9,0
0:20:11,eds,brytning,0,z8,0
0:20:21,eds,skott,räddning,z1,0
0:20:28,iks,utkast,0,z2,0
0:20:39,iks,närkamp,0,z9,0
0:20:45,eds,närkamp,0,z9,0
0:20:49,eds,frislag,0,z9,0
0:21:07,eds,passning,straffområde,z3,0
0:21:11,iks,brytning,0,z2,0
0:21:16,iks,rensning,0,z2,0
0:21:18,eds,boll,0,0,0
0:21:27,eds,hörna,0,z1,0
0:22:04,eds,skott,täckt,z8,0
0:22:15,iks,utkast,0,z2,0
0:22:26,eds,brytning,0,z5,0
0:22:30,eds,hörna,0,z1,0
0:22:59,eds,skott,täckt,z8,0
0:23:01,eds,boll,0,0,0
0:23:23,eds,skott,täckt,z1,0
0:23:30,iks,närkamp,0,z2,0
0:23:43,iks,bolltapp,passförsök,z4,0
0:23:53,eds,frislag,0,z3,0
0:24:23,eds,offside,0,z3,0
0:24:27,iks,frislag,0,z3,0
0:24:57,iks,frislag,0,z2,0
0:25:10,eds,utvisning,10,z2,0
0:26:02,iks,skott,utanför,z7,0
0:26:08,eds,utkast,0,z8,0
0:26:14,iks,brytning,0,z2,0
0:26:38,iks,skott,utanför,z8,0
0:26:48,eds,utkast,0,z8,0
0:26:58,eds,frislag,0,z7,0
0:27:22,iks,utvisning,10,z3,6
0:27:32,eds,frislag,0,z3,0
0:28:06,iks,brytning,0,z2,0
0:28:11,iks,rensning,0,z1,0
0:28:15,eds,utkast,0,z8,0
0:28:44,iks,utvisning,10,z1,88
0:28:55,eds,frislag,0,z1,0
0:29:50,eds,skott,täckt,z1,0
0:29:55,eds,straff,0,z2,0
0:30:30,eds,mål,straffmål,z2,0
0:30:53,iks,timeout,0,0,0
0:32:56,iks,avslag,0,z5,0
0:33:09,eds,brytning,0,z3,0
0:33:23,iks,närkamp,0,z3,0
0:33:28,eds,boll,0,0,0
0:34:07,eds,frislag,0,z4,0
0:34:14,iks,närkamp,0,z1,0
0:34:30,iks,hörna,0,z7,0
0:35:04,iks,mål,hörnmål,z8,39
0:35:15,eds,avslag,0,0,0
0:35:40,eds,skott,räddning,z6,0
0:35:47,iks,utkast,0,z2,0
0:35:53,eds,utkast,0,z8,0
0:36:15,eds,passning,straffområde,z3,0
0:36:31,eds,mål,spelmål,z2,0
0:36:38,iks,avslag,0,0,0
0:36:50,iks,närkamp,0,z3,0
0:37:04,eds,närkamp,0,z5,0
0:37:17,eds,frislag,0,z3,0
0:37:45,iks,rensning,0,z2,0
0:37:49,eds,boll,0,0,0
0:38:16,eds,passning,straffområde,z1,0
0:38:23,iks,rensning,0,z2,0
0:39:07,eds,bolltapp,passförsök,z7,0
0:39:11,iks,utkast,0,z2,0
0:39:20,iks,skott,täckt,z8,0
0:39:26,iks,hörna,0,z7,0
0:39:54,iks,mål,hörnmål,z8,66
0:40:03,eds,avslag,0,0,0
0:40:39,eds,passning,straffområde,z7,0
0:40:52,eds,skott,utanför,z8,0
0:40:55,iks,utkast,0,z2,0
0:41:00,iks,bolltapp,passförsök,z9,0
0:41:04,iks,närkamp,0,z9,0
0:41:09,eds,närkamp,0,z9,0
0:41:11,eds,inslag,0,0,0
0:41:37,eds,mål,spelmål,z7,0
0:41:41,iks,avslag,0,0,0
0:41:58,eds,närkamp,0,z7,0
0:42:11,eds,passning,straffområde,z1,0
0:42:23,iks,närkamp,0,z3,0
0:42:29,iks,rensning,0,z3,0
0:42:32,eds,boll,0,0,0
0:42:47,iks,rensning,0,z2,0
0:42:59,iks,närkamp,0,z9,0
0:43:05,eds,frislag,0,z9,0
0:43:28,eds,skott,räddning,z8,0
0:43:33,iks,utkast,0,z2,0
0:43:51,iks,bolltapp,passförsök,z4,0
0:43:57,eds,utkast,0,z8,0
0:44:05,iks,närkamp,0,z5,0
0:44:20,iks,skott,utanför,z8,0
0:44:26,eds,utkast,0,z8,0
0:44:47,eds,skott,räddning,z3,0
0:44:55,iks,utkast,0,z2,0
0:45:00,iks,bolltapp,tappad,z6,0
0:45:06,iks,närkamp,0,z6,0
0:45:11,iks,närkamp,0,z6,0
0:45:15,iks,frislag,0,z6,0
0:45:33,iks,bolltapp,passförsök,z8,0
