time,team,event,subevent,zone,player
 0:00:00,iks,avslag,0,z5,0
 0:00:14,iks,bolltapp,passförsök,z5,0
 0:00:50,bro,bolltapp,passförsök,z1,0
 0:00:54,iks,bolltapp,passförsök,z1,0
 0:01:25,iks,närkamp,0,z6,0
 0:01:28,iks,inslag,0,z6,0
 0:02:17,iks,bolltapp,passförsök,z4,0
 0:02:18,bro,utkast,0,z8,0
 0:03:08,bro,passning,lång,z4,0
 0:03:12,iks,brytning,0,z2,0
 0:03:15,iks,bolltapp,passförsök,z2,0
 0:03:23,bro,skott,utanför,z2,0
 0:03:25,iks,utkast,0,z2,0
 0:03:53,iks,utkast,0,z2,0
 0:04:05,iks,hörna,0,z1,0
 0:04:19,bro,skott,räddning,z2,0
 0:04:19,bro,skottyp,fast,z2,0
 0:04:58,iks,närkamp,0,z2,0
 0:05:23,iks,skott,räddning,z8,0
 0:05:23,iks,skottyp,inlägg,z7,0
 0:05:46,iks,närkamp,0,z7,0
 0:05:52,bro,närkamp,0,z7,0
 0:06:35,bro,frislag,0,z1,0
 0:07:17,iks,närkamp,0,z1,0
 0:07:41,iks,passning,lång,z5,0
 0:07:42,bro,utkast,0,z7,0
 0:08:15,bro,bolltapp,passförsök,z3,0
 0:08:18,iks,inslag,0,z3,0
 0:08:45,bro,närkamp,0,z7,0
 0:08:52,iks,närkamp,0,z7,0
 0:09:22,iks,passning,lång,z3,0
 0:09:23,bro,brytning,0,z7,0
 0:09:34,iks,närkamp,0,z4,0
 0:09:48,iks,offside,0,z8,0
 0:10:05,bro,mål,spelmål,z8,0
 0:10:31,iks,avslag,0,z5,0
 0:11:01,iks,passning,lång,z5,0
 0:11:02,bro,brytning,0,z7,0
 0:11:08,iks,närkamp,0,z4,0
 0:11:34,iks,bolltapp,passförsök,z9,0
 0:11:35,bro,passning,lång,z5,0
 0:11:41,iks,närkamp,0,z2,0
 0:11:51,iks,bolltapp,tappad,z5,0
 0:12:03,iks,brytning,0,z2,0
 0:12:11,bro,närkamp,0,z4,0
 0:12:14,bro,bolltapp,tappad,z8,0
 0:12:22,iks,mål,spelmål,z2,0
 0:12:49,bro,avslag,0,z5,0
 0:13:20,bro,hörna,0,z1,0
 0:13:25,bro,skott,täckt,z2,0
 0:13:25,bro,skottyp,fast,z2,0
 0:13:59,bro,inslag,0,z3,0
 0:14:35,bro,passning,lång,z4,0
 0:14:37,bro,skott,täckt,z1,0
 0:14:45,iks,närkamp,0,z1,0
 0:15:16,iks,närkamp,0,z1,0
 0:15:20,iks,frislag,0,z1,0
 0:16:00,iks,skott,räddning,z7,0
