halvlek,mål iks,mål motståndare,xg sirius,xg motståndare
IK Sirius - Vetlanda BK halvlek 2,5,0,2.996,1.204
IK Sirius - Vetlanda BK halvlek 1,3,0,2.977,0.917
Västerås SK - IK Sirius halvlek 2,1,3,2.12,2.84
Västerås SK - IK Sirius halvlek 1,2,3,1.509,2.395
IK Sirius - Villa Lidköping BK halvlek 1,0,4,1.627,3.139
IK Sirius - Broberg Söderhamn IF halvlek 2,4,1,2.126,1.517
IK Sirius - Broberg Söderhamn IF halvlek 1,1,1,1.077,1.601
Edsbyns IF - IK Sirius halvlek 2,0,3,1.897,1.839
Edsbyns IF - IK Sirius halvlek 1,0,1,1.869,1.99
IK Sirius - IFK Vänersborg halvlek 2,4,1,3.122,1.546
IK Sirius - IFK Vänersborg halvlek 1,0,1,1.296,2.731
Sandvikens AIK - IK Sirius halvlek 2,2,5,1.261,2.811
Sandvikens AIK - IK Sirius halvlek 1,1,2,1.195,0.935
IK Sirius - IFK Motala halvlek 2,1,1,1.219,1.4
IK Sirius - IFK Motala halvlek 1,3,2,2.813,2.199
Gripen Trollhättan - IK Sirius halvlek 2,4,1,3.169,1.453
Gripen Trollhättan - IK Sirius halvlek 1,0,2,0.616,2.404
IK Sirius - Hammarby IF halvlek 2,2,3,2.046,2.271
IK Sirius - Hammarby IF halvlek 1,7,0,3.63,0.672
Vetlanda BK - IK Sirius halvlek 2,4,6,2.095,2.941
Vetlanda BK - IK Sirius halvlek 1,3,4,1.313,3.126
IK Sirius - Bollnäs GIF halvlek 2,4,0,3.27,1.413
IK Sirius - Bollnäs GIF halvlek 1,2,4,2.292,3.016
Broberg Söderhamn IF - IK Sirius halvlek 2,1,2,3.208,1.54
Broberg Söderhamn IF - IK Sirius halvlek 1,0,4,0.774,2.294
IK Sirius - Sandvikens AIK halvlek 2,1,3,1.176,3.065
IK Sirius - Sandvikens AIK halvlek 1,1,4,1.612,2.197
IFK Motala - IK Sirius halvlek 2,1,4,1.003,1.814
IFK Motala - IK Sirius halvlek 1,1,1,0.774,2.196
IK Sirius - Gripen Trollhättan BK halvlek 2,0,1,2.332,0.995
IK Sirius - Gripen Trollhättan BK halvlek 1,3,2,2.063,1.405
IK Sirius - Västerås SK halvlek 3,0,4,1.001,1.621
IK Sirius - Västerås SK halvlek 2.5,0,1,0.183,0.628
IK Sirius - Västerås SK halvlek 2,0,0,0.451,1.506
IK Sirius - Västerås SK halvlek 1,1,0,1.73,1.193
Frillesås BK - IK Sirius halvlek 2,3,1,2.203,1.729
Frillesås BK - IK Sirius halvlek 1,1,2,2.392,1.519
Hammarby IF - IK Sirius halvlek 2,1,1,2.832,0.918
Hammarby IF - IK Sirius halvlek 1,0,3,1.252,2.006
IK Sirius - Edsbyns IF halvlek 2,1,2,2.743,3.777
IK Sirius - Edsbyns IF halvlek 1,0,2,2.123,2.349
Villa Lidköping - IK Sirius halvlek 2,0,1,1.375,2.591
Villa Lidköping - IK Sirius halvlek 1,1,6,1.801,4.422
IFK Vänersborg - IK Sirius halvlek 2,2,5,1.461,1.794
IFK Vänersborg - IK Sirius halvlek 1,1,3,0.855,1.2
