event,time
z5 avslag gul,0:00:00
tappad boll duell gul z1,0:00:13
tappad boll duell blå z 1,0:00:20
tappad boll passning gul z2,0:00:42
skott blå z 3 röddning,0:01:00
inkast gul z2,0:01:07
skott block gul z7,0:02:09
tappad boll z9 gul,0:02:21
brapassning z1 blå,0:02:31
tappad boll z3 gul ,0:02:40
del ,0:02:43
tappad boll z3 blå,0:02:47
del,0:02:52
tappad boll z3 blå duell,0:02:55
tappad boll gul z7 duell ,0:03:07
tappad boll deull blå z4,0:04:00
tappad boll deull gul z4,0:04:13
tappad boll duell z4 blå,0:04:29
tappad boll duell z4 gul,0:04:33
inkast gul z2,0:05:01
skott gul z8,0:05:21
del,0:05:25
skott gul z8 räddning,0:05:27
inkast blå z8,0:05:32
tappad boll duell blå z2,0:06:14
skott block gul z8,0:06:46
tappad boll z8 gul ,0:06:55
skott block z3 blå,0:07:10
inkast gul z2,0:07:13
tappad boll dåligpassning gul z5,0:08:38
tappad boll dåligpassning blå z4,0:09:05
tappadboll passning blå z2,0:10:15
skott block gul z8,0:11:06
utkast blå z8,0:11:13
utkast gul z2,0:11:20
tappad boll duell z5,0:11:40
del,0:11:42
tappad boll duell z5 gul,0:11:45
tappad boll duell z5 blå,0:11:53
frislag gul z7,0:12:16
frislag gul z5,0:12:34
passning z9 gul ,0:12:51
tappad boll duell gul z8,0:13:01
tappad boll duell blå z3,0:13:14
frislag gul z9,0:13:27
skott utafr z8 gul,0:13:51
utkast z8 blå ,0:13:55
tappadboll blå z3,0:14:09
inkast blå z2,0:14:47
del,0:14:50
inkast blå z8,0:14:53
skott räddning z2 blå ,0:15:09
tappadboll blå z2 duell ,0:15:19
tappadboll gul z8 passnig ,0:15:46
tappadboll blå duell z 4,0:16:04
tappad boll passning gul z8,0:16:40
tappadboll blå duell z5,0:18:43
skott block gul z8,0:18:59
tappadboll gul z8,0:19:07
utkast gul z2,0:20:07
skott utanför gul z9,0:20:32
utkast blå z8,0:20:38
tappad boll passning blå z4,0:21:33
skott räddning gul z7,0:22:10
hörna gul z7,0:22:33
gul skott block z8,0:23:03
utkast blå z8,0:23:12
mål blå z2,0:23:38
avslag gul z5,0:24:21
vunnen boll blå ,0:24:32
utkast gul z2,0:24:37
vunnen boll duell z7,0:26:02
frislag gul z7,0:26:08
tappad boll gul z9 duell ,0:26:40
tappad boll blå ,0:26:52
tappad boll duell gul z7,0:27:41
tappad boll blå duell z7,0:28:11
tappad boll gul dull z7,0:28:18
del,0:28:23
utkast blå z8,0:28:47
utkast gul z2,0:28:53
tappad boll gul z5,0:29:55
tappad boll blå z2,0:30:35
tappad boll gul passning z3,0:30:41
tappad boll blå passning z2,0:31:00
frislag gul z2,0:31:15
frislag gul z4,0:31:33
friläge gul z2,0:32:08
utkast blå z8 ,0:32:17
skott block blå z2,0:33:08
skott block blå z2,0:33:10
del,0:33:16
skott utanför blå z2,0:33:22
utkast gul z2,0:33:26
taooad boll gul,0:33:38
skott räddning z2 blp,0:33:43
utkast guk,0:33:48
tappad boll gul ,0:33:54
tappad boll blå z2,0:34:10
tappad boll gul passning z6,0:34:22
tappad boll blå 5,0:34:32
stop,0:34:59
